상품명,수량,매출,수수료합,정산금액,원가
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
스테인리스 텀블러 500ml,-1,-15900,-1828,-14072,-6800
유기농 아몬드 1kg,1,22900,2748,20152,21000
면 100% 기본 티셔츠 블랙,2,39800,5174,34626,14400
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
실리콘 주방 집게 2p,2,17800,2047,15753,16400
비타민D 1000IU 90정,1,18900,2835,16065,9100
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
유기농 아몬드 1kg,1,22900,2748,20152,21000
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
면 100% 기본 티셔츠 블랙,2,39800,5174,34626,14400
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
캠핑용 폴딩 의자,1,45900,5049,40851,28000
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
유기농 아몬드 1kg,1,22900,2748,20152,21000
유기농 아몬드 1kg,2,45800,5496,40304,42000
비타민D 1000IU 90정,1,18900,2835,16065,9100
비타민D 1000IU 90정,3,56700,8505,48195,27300
비타민D 1000IU 90정,1,18900,2835,16065,9100
핸드드립 커피 원두 200g,2,33800,4056,29744,19600
핸드드립 커피 원두 200g,2,33800,4056,29744,19600
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
무선 블루투스 이어폰 화이트,-1,-39900,-3591,-36309,-21000
비타민D 1000IU 90정,1,18900,2835,16065,9100
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
스테인리스 텀블러 500ml,-1,-15900,-1828,-14072,-6800
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
유기농 아몬드 1kg,2,45800,5496,40304,42000
실리콘 주방 집게 2p,1,8900,1024,7876,8200
실리콘 주방 집게 2p,1,8900,1024,7876,8200
캠핑용 폴딩 의자,2,91800,10098,81702,56000
캠핑용 폴딩 의자,2,91800,10098,81702,56000
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
실리콘 주방 집게 2p,1,8900,1024,7876,8200
실리콘 주방 집게 2p,1,8900,1024,7876,8200
실리콘 주방 집게 2p,2,17800,2047,15753,16400
비타민D 1000IU 90정,1,18900,2835,16065,9100
비타민D 1000IU 90정,1,18900,2835,16065,9100
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
캠핑용 폴딩 의자,1,45900,5049,40851,28000
극세사 클리닝 타월 5p,-1,-9900,-1138,-8762,-3100
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
무선 블루투스 이어폰 화이트,3,119700,10773,108927,63000
유기농 아몬드 1kg,1,22900,2748,20152,21000
유기농 아몬드 1kg,1,22900,2748,20152,21000
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
유기농 아몬드 1kg,2,45800,5496,40304,42000
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
실리콘 주방 집게 2p,-1,-8900,-1024,-7876,-8200
실리콘 주방 집게 2p,1,8900,1024,7876,8200
실리콘 주방 집게 2p,1,8900,1024,7876,8200
비타민D 1000IU 90정,2,37800,5670,32130,18200
비타민D 1000IU 90정,1,18900,2835,16065,9100
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
USB-C 고속 충전 케이블 2m,2,25800,2322,23478,6600
캠핑용 폴딩 의자,1,45900,5049,40851,28000
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
핸드드립 커피 원두 200g,2,33800,4056,29744,19600
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
유기농 아몬드 1kg,2,45800,5496,40304,42000
비타민D 1000IU 90정,2,37800,5670,32130,18200
핸드드립 커피 원두 200g,2,33800,4056,29744,19600
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
유기농 아몬드 1kg,-1,-22900,-2748,-20152,-21000
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
USB-C 고속 충전 케이블 2m,2,25800,2322,23478,6600
캠핑용 폴딩 의자,1,45900,5049,40851,28000
캠핑용 폴딩 의자,1,45900,5049,40851,28000
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
스테인리스 텀블러 500ml,-2,-31800,-3657,-28143,-13600
스테인리스 텀블러 500ml,-1,-15900,-1828,-14072,-6800
비타민D 1000IU 90정,1,18900,2835,16065,9100
비타민D 1000IU 90정,1,18900,2835,16065,9100
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
무선 블루투스 이어폰 화이트,2,79800,7182,72618,42000
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
비타민D 1000IU 90정,2,37800,5670,32130,18200
USB-C 고속 충전 케이블 2m,2,25800,2322,23478,6600
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
USB-C 고속 충전 케이블 2m,3,38700,3483,35217,9900
캠핑용 폴딩 의자,1,45900,5049,40851,28000
캠핑용 폴딩 의자,1,45900,5049,40851,28000
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
USB-C 고속 충전 케이블 2m,2,25800,2322,23478,6600
USB-C 고속 충전 케이블 2m,3,38700,3483,35217,9900
캠핑용 폴딩 의자,1,45900,5049,40851,28000
캠핑용 폴딩 의자,2,91800,10098,81702,56000
캠핑용 폴딩 의자,1,45900,5049,40851,28000
극세사 클리닝 타월 5p,3,29700,3416,26284,9300
극세사 클리닝 타월 5p,2,19800,2277,17523,6200
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
스테인리스 텀블러 500ml,2,31800,3657,28143,13600
스테인리스 텀블러 500ml,3,47700,5486,42214,20400
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
유기농 아몬드 1kg,2,45800,5496,40304,42000
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
면 100% 기본 티셔츠 블랙,1,19900,2587,17313,7200
캠핑용 폴딩 의자,2,91800,10098,81702,56000
핸드드립 커피 원두 200g,3,50700,6084,44616,29400
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
비타민D 1000IU 90정,1,18900,2835,16065,9100
비타민D 1000IU 90정,1,18900,2835,16065,9100
캠핑용 폴딩 의자,2,91800,10098,81702,56000
캠핑용 폴딩 의자,1,45900,5049,40851,28000
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
실리콘 주방 집게 2p,1,8900,1024,7876,8200
실리콘 주방 집게 2p,1,8900,1024,7876,8200
실리콘 주방 집게 2p,1,8900,1024,7876,8200
비타민D 1000IU 90정,1,18900,2835,16065,9100
비타민D 1000IU 90정,1,18900,2835,16065,9100
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
USB-C 고속 충전 케이블 2m,1,12900,1161,11739,3300
핸드드립 커피 원두 200g,3,50700,6084,44616,29400
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
무선 블루투스 이어폰 화이트,2,79800,7182,72618,42000
무선 블루투스 이어폰 화이트,1,39900,3591,36309,21000
스테인리스 텀블러 500ml,2,31800,3657,28143,13600
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
스테인리스 텀블러 500ml,3,47700,5486,42214,20400
유기농 아몬드 1kg,1,22900,2748,20152,21000
USB-C 고속 충전 케이블 2m,2,25800,2322,23478,6600
캠핑용 폴딩 의자,2,91800,10098,81702,56000
캠핑용 폴딩 의자,1,45900,5049,40851,28000
핸드드립 커피 원두 200g,1,16900,2028,14872,9800
극세사 클리닝 타월 5p,1,9900,1138,8762,3100
극세사 클리닝 타월 5p,-1,-9900,-1138,-8762,-3100
무선 블루투스 이어폰 화이트,-1,-39900,-3591,-36309,-21000
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
스테인리스 텀블러 500ml,1,15900,1828,14072,6800
유기농 아몬드 1kg,-1,-22900,-2748,-20152,-21000
