상품명,수량,매출,수수료합,정산금액,원가
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
스테인리스 텀블러 500ml,-1,-15900,-1054,-14846,-6800
유기농 아몬드 1kg,1,22900,1519,21381,21000
면 100% 기본 티셔츠 블랙,2,39800,3038,36762,14400
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
면 100% 기본 티셔츠 블랙,1,19900,1519,18381,7200
실리콘 주방 집게 2p,2,17800,1181,16619,16400
비타민D 1000IU 90정,1,18900,1254,17646,9100
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
극세사 클리닝 타월 5p,1,9900,656,9244,3100
무선 블루투스 이어폰 화이트,1,39900,3045,36855,21000
유기농 아몬드 1kg,1,22900,1519,21381,21000
면 100% 기본 티셔츠 블랙,1,19900,1519,18381,7200
면 100% 기본 티셔츠 블랙,2,39800,2640,37160,14400
면 100% 기본 티셔츠 블랙,1,19900,1519,18381,7200
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
캠핑용 폴딩 의자,1,45900,3503,42397,28000
극세사 클리닝 타월 5p,1,9900,755,9145,3100
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
유기농 아몬드 1kg,1,22900,1519,21381,21000
유기농 아몬드 1kg,2,45800,3038,42762,42000
비타민D 1000IU 90정,1,18900,1254,17646,9100
비타민D 1000IU 90정,3,56700,3761,52939,27300
비타민D 1000IU 90정,1,18900,1254,17646,9100
핸드드립 커피 원두 200g,2,33800,2242,31558,19600
핸드드립 커피 원두 200g,2,33800,2242,31558,19600
핸드드립 커피 원두 200g,1,16900,1290,15610,9800
무선 블루투스 이어폰 화이트,-1,-39900,-2646,-37254,-21000
비타민D 1000IU 90정,1,18900,1443,17457,9100
극세사 클리닝 타월 5p,1,9900,656,9244,3100
스테인리스 텀블러 500ml,-1,-15900,-1213,-14687,-6800
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
유기농 아몬드 1kg,2,45800,3496,42304,42000
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,1,8900,679,8221,8200
캠핑용 폴딩 의자,2,91800,6089,85711,56000
캠핑용 폴딩 의자,2,91800,7007,84793,56000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,1,16900,1290,15610,9800
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,2,17800,1181,16619,16400
비타민D 1000IU 90정,1,18900,1254,17646,9100
비타민D 1000IU 90정,1,18900,1254,17646,9100
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
캠핑용 폴딩 의자,1,45900,3044,42856,28000
극세사 클리닝 타월 5p,-1,-9900,-755,-9145,-3100
극세사 클리닝 타월 5p,1,9900,656,9244,3100
무선 블루투스 이어폰 화이트,3,119700,7940,111760,63000
유기농 아몬드 1kg,1,22900,1519,21381,21000
유기농 아몬드 1kg,1,22900,1748,21152,21000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
극세사 클리닝 타월 5p,1,9900,755,9145,3100
유기농 아몬드 1kg,2,45800,3038,42762,42000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
실리콘 주방 집게 2p,-1,-8900,-590,-8310,-8200
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,1,8900,590,8310,8200
비타민D 1000IU 90정,2,37800,2507,35293,18200
비타민D 1000IU 90정,1,18900,1254,17646,9100
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
USB-C 고속 충전 케이블 2m,1,12900,984,11916,3300
USB-C 고속 충전 케이블 2m,2,25800,1712,24088,6600
캠핑용 폴딩 의자,1,45900,3503,42397,28000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,2,33800,2242,31558,19600
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
유기농 아몬드 1kg,2,45800,3496,42304,42000
비타민D 1000IU 90정,2,37800,2885,34915,18200
핸드드립 커피 원두 200g,2,33800,2242,31558,19600
극세사 클리닝 타월 5p,1,9900,755,9145,3100
극세사 클리닝 타월 5p,1,9900,656,9244,3100
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
스테인리스 텀블러 500ml,1,15900,1213,14687,6800
유기농 아몬드 1kg,-1,-22900,-1519,-21381,-21000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
USB-C 고속 충전 케이블 2m,2,25800,1970,23830,6600
캠핑용 폴딩 의자,1,45900,3044,42856,28000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
스테인리스 텀블러 500ml,-2,-31800,-2109,-29691,-13600
스테인리스 텀블러 500ml,-1,-15900,-1054,-14846,-6800
비타민D 1000IU 90정,1,18900,1443,17457,9100
비타민D 1000IU 90정,1,18900,1443,17457,9100
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
극세사 클리닝 타월 5p,1,9900,656,9244,3100
극세사 클리닝 타월 5p,1,9900,656,9244,3100
무선 블루투스 이어폰 화이트,2,79800,5293,74507,42000
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
비타민D 1000IU 90정,2,37800,2507,35293,18200
USB-C 고속 충전 케이블 2m,2,25800,1712,24088,6600
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
USB-C 고속 충전 케이블 2m,3,38700,2954,35746,9900
캠핑용 폴딩 의자,1,45900,3044,42856,28000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,1,16900,1290,15610,9800
USB-C 고속 충전 케이블 2m,2,25800,1712,24088,6600
USB-C 고속 충전 케이블 2m,3,38700,2954,35746,9900
캠핑용 폴딩 의자,1,45900,3044,42856,28000
캠핑용 폴딩 의자,2,91800,6089,85711,56000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
극세사 클리닝 타월 5p,3,29700,1970,27730,9300
극세사 클리닝 타월 5p,2,19800,1314,18486,6200
극세사 클리닝 타월 5p,1,9900,656,9244,3100
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
스테인리스 텀블러 500ml,2,31800,2109,29691,13600
스테인리스 텀블러 500ml,3,47700,3164,44536,20400
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
유기농 아몬드 1kg,2,45800,3038,42762,42000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
면 100% 기본 티셔츠 블랙,1,19900,1519,18381,7200
캠핑용 폴딩 의자,2,91800,6089,85711,56000
핸드드립 커피 원두 200g,3,50700,3363,47337,29400
스테인리스 텀블러 500ml,1,15900,1213,14687,6800
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
비타민D 1000IU 90정,1,18900,1443,17457,9100
비타민D 1000IU 90정,1,18900,1254,17646,9100
캠핑용 폴딩 의자,2,91800,6089,85711,56000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,1,8900,590,8310,8200
비타민D 1000IU 90정,1,18900,1254,17646,9100
비타민D 1000IU 90정,1,18900,1254,17646,9100
USB-C 고속 충전 케이블 2m,1,12900,984,11916,3300
USB-C 고속 충전 케이블 2m,1,12900,984,11916,3300
핸드드립 커피 원두 200g,3,50700,3363,47337,29400
극세사 클리닝 타월 5p,1,9900,755,9145,3100
무선 블루투스 이어폰 화이트,1,39900,3045,36855,21000
무선 블루투스 이어폰 화이트,2,79800,5293,74507,42000
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
스테인리스 텀블러 500ml,2,31800,2427,29373,13600
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
스테인리스 텀블러 500ml,3,47700,3641,44059,20400
유기농 아몬드 1kg,1,22900,1519,21381,21000
USB-C 고속 충전 케이블 2m,2,25800,1712,24088,6600
캠핑용 폴딩 의자,2,91800,7007,84793,56000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
극세사 클리닝 타월 5p,1,9900,755,9145,3100
극세사 클리닝 타월 5p,-1,-9900,-755,-9145,-3100
무선 블루투스 이어폰 화이트,-1,-39900,-2646,-37254,-21000
스테인리스 텀블러 500ml,1,15900,1213,14687,6800
스테인리스 텀블러 500ml,1,15900,1213,14687,6800
유기농 아몬드 1kg,-1,-22900,-1748,-21152,-21000
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,2,17800,1359,16441,16400
비타민D 1000IU 90정,1,18900,1254,17646,9100
비타민D 1000IU 90정,1,18900,1254,17646,9100
캠핑용 폴딩 의자,1,45900,3503,42397,28000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
무선 블루투스 이어폰 화이트,1,39900,3045,36855,21000
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
유기농 아몬드 1kg,1,22900,1519,21381,21000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
핸드드립 커피 원두 200g,2,33800,2242,31558,19600
극세사 클리닝 타월 5p,1,9900,656,9244,3100
극세사 클리닝 타월 5p,1,9900,656,9244,3100
유기농 아몬드 1kg,1,22900,1748,21152,21000
실리콘 주방 집게 2p,1,8900,590,8310,8200
비타민D 1000IU 90정,1,18900,1254,17646,9100
캠핑용 폴딩 의자,1,45900,3044,42856,28000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,-1,-16900,-1121,-15779,-9800
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
실리콘 주방 집게 2p,1,8900,679,8221,8200
실리콘 주방 집게 2p,1,8900,590,8310,8200
실리콘 주방 집게 2p,-1,-8900,-590,-8310,-8200
비타민D 1000IU 90정,1,18900,1254,17646,9100
캠핑용 폴딩 의자,-2,-91800,-6089,-85711,-56000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
비타민D 1000IU 90정,1,18900,1254,17646,9100
비타민D 1000IU 90정,1,18900,1254,17646,9100
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
캠핑용 폴딩 의자,1,45900,3044,42856,28000
캠핑용 폴딩 의자,2,91800,6089,85711,56000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,2,33800,2580,31220,19600
극세사 클리닝 타월 5p,1,9900,755,9145,3100
스테인리스 텀블러 500ml,2,31800,2109,29691,13600
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
유기농 아몬드 1kg,1,22900,1519,21381,21000
유기농 아몬드 1kg,1,22900,1748,21152,21000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
실리콘 주방 집게 2p,1,8900,590,8310,8200
비타민D 1000IU 90정,1,18900,1254,17646,9100
비타민D 1000IU 90정,2,37800,2507,35293,18200
USB-C 고속 충전 케이블 2m,2,25800,1712,24088,6600
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
극세사 클리닝 타월 5p,1,9900,656,9244,3100
무선 블루투스 이어폰 화이트,1,39900,2646,37254,21000
무선 블루투스 이어폰 화이트,1,39900,3045,36855,21000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
실리콘 주방 집게 2p,2,17800,1181,16619,16400
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
핸드드립 커피 원두 200g,1,16900,1290,15610,9800
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,3,50700,3363,47337,29400
스테인리스 텀블러 500ml,2,31800,2109,29691,13600
비타민D 1000IU 90정,1,18900,1443,17457,9100
비타민D 1000IU 90정,1,18900,1254,17646,9100
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
핸드드립 커피 원두 200g,1,16900,1290,15610,9800
스테인리스 텀블러 500ml,1,15900,1213,14687,6800
극세사 클리닝 타월 5p,1,9900,656,9244,3100
무선 블루투스 이어폰 화이트,-1,-39900,-2646,-37254,-21000
무선 블루투스 이어폰 화이트,1,39900,3045,36855,21000
무선 블루투스 이어폰 화이트,2,79800,5293,74507,42000
USB-C 고속 충전 케이블 2m,2,25800,1712,24088,6600
핸드드립 커피 원두 200g,1,16900,1121,15779,9800
스테인리스 텀블러 500ml,1,15900,1054,14846,6800
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
비타민D 1000IU 90정,2,37800,2885,34915,18200
비타민D 1000IU 90정,1,18900,1254,17646,9100
USB-C 고속 충전 케이블 2m,1,12900,984,11916,3300
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
USB-C 고속 충전 케이블 2m,1,12900,855,12045,3300
캠핑용 폴딩 의자,1,45900,3044,42856,28000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
핸드드립 커피 원두 200g,1,16900,1290,15610,9800
핸드드립 커피 원두 200g,1,16900,1290,15610,9800
극세사 클리닝 타월 5p,1,9900,656,9244,3100
유기농 아몬드 1kg,1,22900,1519,21381,21000
면 100% 기본 티셔츠 블랙,1,19900,1320,18580,7200
실리콘 주방 집게 2p,1,8900,590,8310,8200
캠핑용 폴딩 의자,1,45900,3044,42856,28000
캠핑용 폴딩 의자,2,91800,6089,85711,56000
캠핑용 폴딩 의자,1,45900,3044,42856,28000
극세사 클리닝 타월 5p,1,9900,656,9244,3100
